nome,artista,idioma,letra
Eduardo e Mônica,Legião Urbana,Português,"Música: Eduardo e Mônica
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Quem, um dia, irá dizer que existe razão
Nas coisas feitas pelo coração?
E quem irá dizer que não existe razão?

Eduardo abriu os olhos, mas não quis se levantar
Ficou deitado e viu que horas eram
Enquanto Mônica tomava um conhaque
No outro canto da cidade, como eles disseram
Eduardo e Mônica, um dia, se encontraram sem querer
Conversaram muito mesmo pra tentar se conhecer
Um carinha do cursinho do Eduardo que disse:
""Tem uma festa legal e a gente quer se divertir""
Festa estranha, com gente esquisita
""Eu não tô legal, não aguento mais birita""
E a Mônica riu e quis saber um pouco mais
Sobre o boyzinho que tentava impressionar
E o Eduardo, meio tonto, só pensava em ir pra casa
""É quase duas, eu vou me ferrar""
Eduardo e Mônica trocaram telefone
Depois telefonaram e decidiram se encontrar
O Eduardo sugeriu uma lanchonete
Mas a Mônica queria ver o filme do Godard
Se encontraram, então, no parque da cidade
A Mônica de moto e o Eduardo de camelo
O Eduardo achou estranho e melhor não comentar
Mas a menina tinha tinta no cabelo
Eduardo e Mônica eram nada parecidos
Ela era de Leão e ele tinha dezesseis
Ela fazia Medicina e falava alemão
E ele ainda nas aulinhas de inglês
Ela gostava do Bandeira e do Bauhaus
Van Gogh e dos Mutantes, de Caetano e de Rimbaud
E o Eduardo gostava de novela
E jogava futebol de botão com seu avô
Ela falava coisas sobre o Planalto Central
Também magia e meditação
E o Eduardo ainda tava no esquema
Escola-cinema-clube-televisão

E, mesmo com tudo diferente
Veio mesmo, de repente, uma vontade de se ver
E os dois se encontravam todo dia
E a vontade crescia, como tinha de ser (É)

Eduardo e Mônica fizeram natação, fotografia
Teatro, artesanato e foram viajar
A Mônica explicava pro Eduardo
Coisas sobre o céu, a terra, a água e o ar
Ele aprendeu a beber, deixou o cabelo crescer
E decidiu trabalhar (Ah)
E ela se formou no mesmo mês
Que ele passou no vestibular
E os dois comemoraram juntos
E também brigaram juntos muitas vezes depois
E todo mundo diz que ele completa ela e vice-versa
Que nem feijão com arroz
Construíram uma casa uns dois anos atrás
Mais ou menos quando os gêmeos vieram
Batalharam grana, seguraram legal
A barra mais pesada que tiveram
Eduardo e Mônica voltaram pra Brasília
E a nossa amizade dá saudade no verão
Só que nessas férias não vão viajar
Porque o filhinho do Eduardo
Tá de recuperação, ah-ha

E quem, um dia, irá dizer que existe razão
Nas coisas feitas pelo coração?
E quem irá dizer que não existe razão?"
Será,Legião Urbana,Português,"Música: Será
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Tire suas mãos de mim
Eu não pertenço a você
Não é me dominando assim
Que você vai me entender
Posso estar sozinho
Mas eu sei muito bem aonde estou
Você pode até duvidar
Acho que isso não é amor

Será só imaginação?
Será que nada vai acontecer?
Será que é tudo isso em vão?
Será que vamos conseguir vencer?
Woah

Nos perderemos entre monstros
Da nossa própria criação
Serão noites inteiras
Talvez por medo da escuridão
Ficaremos acordados
Imaginando alguma solução
Pra que esse nosso egoísmo
Não destrua nosso coração

Será só imaginação?
Será que nada vai acontecer?
Será que é tudo isso em vão?
Será que vamos conseguir vencer?
Woah (Woah)

Brigar pra quê se é sem querer?
Quem é que vai nos proteger?
Será que vamos ter de responder
Pelos erros a mais, eu e você?"
Ainda é Cedo,Legião Urbana,Português,"Música: Ainda é Cedo
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Uma menina me ensinou quase tudo o que eu sei
Era quase escravidão, mas ela me tratava como um rei
Ela fazia muitos planos, eu só queria estar ali
Sempre ao lado dela, eu não tinha aonde ir
Mas, egoísta que eu sou, me esqueci de ajudar
A ela como ela me ajudou e não quis me separar
Ela também estava perdida e, por isso, se agarrava a mim também
E eu me agarrava a ela porque eu não tinha mais ninguém

E eu dizia: ""Ainda é cedo""
Cedo, cedo, cedo, cedo
E eu dizia: ""Ainda é cedo""
Cedo, cedo, cedo, cedo
Ah, eu dizia: ""Ainda é cedo""
Cedo, cedo, cedo, cedo
Ah, eu dizia: ""Ainda é cedo""

Sei que ela terminou o que eu não comecei
E o que ela descobriu, eu aprendi também, eu sei
Ela falou: ""Você tem medo"", aí eu disse: ""Quem tem medo é você""
Falamos o que não devia nunca ser dito por ninguém
Ela me disse: ""Eu não sei mais o que eu sinto por você
Vamos dar um tempo, um dia a gente se vê""

E eu dizia: ""Ainda é cedo""
Cedo, cedo, cedo, cedo
E eu dizia: ""Ainda é cedo""
Cedo, cedo, cedo, cedo
Ah, eu dizia: ""Ainda é cedo""
Cedo, cedo, cedo, cedo
Ah, eu dizia: ""Ainda é cedo"""
Que País É Este,Legião Urbana,Português,"Música: Que País É Este
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Nas favelas, no Senado
Sujeira pra todo lado
Ninguém respeita a Constituição
Mas todos acreditam no futuro da nação

Que país é esse?
Que país é esse?
Que país é esse?

No Amazonas, no Araguaia-iá-iá, na Baixada Fluminense
Mato Grosso, Minas Gerais e no Nordeste, tudo em paz
Na morte, eu descanso, mas o sangue anda solto
Manchando os papéis, documentos fiéis ao descanso do patrão

Que país é esse? Yeah
Que país é esse?
Que país é esse?
Que país é esse? Ah

Terceiro mundo, se for, piada no exterior
Mas o Brasil vai ficar rico, vamos faturar um milhão
Quando vendermos todas as almas dos nossos índios num leilão

Que país é esse?
Que país é esse?
Que país é esse?
Que país é esse?"
Índios,Legião Urbana,Português,"Música: Índios
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Quem me dera, ao menos uma vez
Ter de volta todo o ouro que entreguei
A quem conseguiu me convencer que era prova de amizade
Se alguém levasse embora até o que eu não tinha
Quem me dera, ao menos uma vez
Esquecer que acreditei que era por brincadeira
Que se cortava sempre um pano de chão
De linho nobre e pura seda
Quem me dera, ao menos uma vez
Explicar o que ninguém consegue entender
Que o que aconteceu ainda está por vir
E o futuro não é mais como era antigamente
Quem me dera, ao menos uma vez
Provar que quem tem mais do que precisa ter
Quase sempre se convence que não tem o bastante
Fala demais por não ter nada a dizer
Quem me dera, ao menos uma vez
Que o mais simples fosse visto como o mais importante
Mas nos deram espelhos e vimos um mundo doente
Quem me dera, ao menos uma vez
Entender como um só Deus, ao mesmo tempo, é três
E esse mesmo Deus foi morto por vocês
Só maldade, então, deixar um Deus tão triste

Eu quis o perigo e até sangrei sozinho, entenda
Assim, pude trazer você de volta pra mim
Quando descobri que é sempre só você
Que me entende do início ao fim
E é só você que tem a cura pro meu vício
De insistir nessa saudade que eu sinto
De tudo que eu ainda não vi

Quem me dera, ao menos uma vez
Acreditar por um instante em tudo que existe
E acreditar que o mundo é perfeito
E que todas as pessoas são felizes
Quem me dera, ao menos uma vez
Fazer com que o mundo saiba que seu nome
Está em tudo e mesmo assim
Ninguém lhe diz ao menos ""Obrigado""
Quem me dera, ao menos uma vez
Como a mais bela tribo dos mais belos índios
Não ser atacado por ser inocente

Eu quis o perigo e até sangrei sozinho, entenda
Assim, pude trazer você de volta pra mim
Quando descobri que é sempre só você
Que me entende do início ao fim
E é só você que tem a cura pro meu vício
De insistir nessa saudade que eu sinto
De tudo que eu ainda não vi

Nos deram espelhos e vimos um mundo doente
Tentei chorar e não consegui"
Giz,Legião Urbana,Português,"Música: Giz
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Mesmo sem te ver, acho, até, que estou indo bem
Só apareço, por assim dizer, quando convém aparecer
Ou quando quero, quando eu quero

Desenho toda a calçada
Acaba o giz, tem tijolo de construção
Eu rabisco o sol que a chuva apagou
Quero que saibas que me lembro
Queria, até, que pudesses me ver
És parte, ainda, do que me faz forte
Pra ser honesto, só um pouquinho infeliz

Mas tudo bem, tudo bem, tudo bem
Tudo bem, tudo bem, tudo bem

Lá vem, lá vem, lá vem de novo
Acho que estou gostando de alguém
E é de ti que não me esquecerei

(Quando eu quero) Tudo bem, tudo bem, tudo bem
(Quando eu quero) Tudo bem, tudo bem, tudo bem
(Quando eu quero)

Eu rabisco o sol que a chuva apagou
(Tudo bem, tudo bem, tudo bem)
(Quando eu quero) Acho que estou gostando de alguém
(Tudo bem, tudo bem, tudo bem)"
Quase Sem Querer,Legião Urbana,Português,"Música: Quase Sem Querer
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Tenho andado distraído, impaciente e indeciso
E ainda estou confuso, só que agora é diferente
Estou tão tranquilo e tão contente
Quantas chances desperdicei quando o que eu mais queria
Era provar pra todo o mundo que eu não precisava
Provar nada pra ninguém
Me fiz em mil pedaços pra você juntar
E queria sempre achar explicação pro que eu sentia
Como um anjo caído, fiz questão de esquecer
Que mentir pra si mesmo é sempre a pior mentira

Mas não sou mais tão criança
Ooh, a ponto de saber tudo

Já não me preocupo se eu não sei porquê
Às vezes, o que eu vejo quase ninguém vê
E eu sei que você sabe quase sem querer
Que eu vejo o mesmo que você

Tão correto e tão bonito
O infinito é realmente um dos deuses mais lindos
Sei que às vezes uso palavras repetidas
Mas quais são as palavras que nunca são ditas?
Me disseram que você estava chorando
E foi então que eu percebi como lhe quero tanto

Já não me preocupo se eu não sei porquê
Às vezes, o que eu vejo quase ninguém vê
E eu sei que você sabe quase sem querer
Que eu quero o mesmo que você"
Eu Sei,Legião Urbana,Português,"Música: Eu Sei
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Sexo verbal não faz meu estilo
Palavras são erros e os erros são seus
Não quero lembrar que eu erro também
Um dia, pretendo tentar descobrir
Porque é mais forte quem sabe mentir
Não quero lembrar que eu minto também

Eu sei
Eu sei

Feche a porta do seu quarto
Porque se toca o telefone, pode ser alguém
Com quem você quer falar por horas e horas e horas
A noite acabou, talvez tenhamos que fugir sem você
Mas não, não vá agora, quero honras e promessas
Lembranças e histórias, somos pássaro novo longe do ninho

Eu sei
Eu sei"
Vento no Litoral,Legião Urbana,Português,"Música: Vento no Litoral
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

De tarde, quero descansar, chegar até a praia
E ver se o vento ainda está forte e vai ser bom subir nas pedras
Sei que faço isso pra esquecer, eu deixo a onda me acertar
E o vento vai levando tudo embora
Agora, está tão longe, vê a linha do horizonte me distrai
Dos nossos planos é que tenho mais saudade
Quando olhávamos juntos na mesma direção
Aonde está você agora, além de aqui, dentro de mim?


Agimos certo sem querer, foi só o tempo que errou
Vai ser difícil, eu sem você, porque você está comigo o tempo todo
E, quando vejo o mar, existe algo que diz
Que a vida continua e se entregar é uma bobagem
Já que você não está aqui, o que posso fazer é cuidar de mim

Quero ser feliz, ao menos, lembra que o plano era ficarmos bem?
Ei, olha só o que eu achei, hmm: cavalos-marinhos
Sei que faço isso pra esquecer, eu deixo a onda me acertar
E o vento vai levando tudo embora"
Há Tempos,Legião Urbana,Português,"Música: Há Tempos
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Parece cocaína, mas é só tristeza
Talvez tua cidade
Muitos temores nascem do cansaço e da solidão
Descompasso, desperdício

Herdeiros são agora da virtude que perdemos

Há tempos, tive um sonho
Não me lembro, não me lembro

Tua tristeza é tão exata e hoje o dia é tão bonito
Já estamos acostumados a não termos mais nem isso

Os sonhos vêm, os sonhos vão
O resto é imperfeito
Disseste que se tua voz tivesse força igual
A imensa dor que sentes

Teu grito acordaria, não só a tua casa, mas a vizinhança inteira

E, há tempos, nem os santos
Têm ao certo a medida da maldade
E, há tempos, são os jovens que adoecem
E, há tempos, o encanto está ausente
E há ferrugem nos sorrisos e só o acaso estende os braços
A quem procura abrigo e proteção, meu amor

Disciplina é liberdade, compaixão é fortaleza
Ter bondade é ter coragem (Ela disse)
""Lá em casa tem um poço, mas a água é muito limpa"" (Limpa)"
Meninos e Meninas,Legião Urbana,Português,"Música: Meninos e Meninas
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Quero me encontrar, mas não sei onde estou
Vem, comigo, procurar algum lugar mais calmo
Longe dessa confusão e dessa gente que não se respeita
Tenho quase certeza que eu não sou daqui

Acho que gosto de São Paulo, gosto de São João
Gosto de São Francisco e São Sebastião
E eu gosto de meninos e meninas

Vai ver que é assim mesmo e vai ser assim pra sempre
Vai ficando complicado e, ao mesmo tempo, diferente
Estou cansado de bater e ninguém abrir
Você me deixou sentindo tanto frio
Não sei mais o que dizer

Te fiz comida, velei teu sono
Fui teu amigo, te levei comigo, e me diz
Pra mim, o que é que ficou?

Me deixa ver como viver é bom
Não é a vida como está e sim as coisas como são
Você não quis tentar me ajudar
Então a culpa é de quem? A culpa é de quem?

Eu canto em português errado
Acho que o imperfeito não participa do passado
Troco as pessoas, troco os pronomes

Preciso de oxigênio, preciso ter amigos
Preciso ter dinheiro, preciso de carinho
Acho que te amava, agora, acho que te odeio
São tudo pequenas coisas e tudo deve passar

Acho que gosto de São Paulo e gosto de São João
Gosto de São Francisco e São Sebastião
E eu gosto de meninos e meninas"
Perfeição,Legião Urbana,Português,"Música: Perfeição
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Vamos celebrar a estupidez humana
A estupidez de todas as nações
O meu país e sua corja de assassinos
Covardes, estupradores e ladrões
Vamos celebrar a estupidez do povo
Nossa polícia e televisão
Vamos celebrar nosso governo
E nosso Estado que não é nação
Celebrar a juventude sem escolas
As crianças mortas, celebrar nossa desunião
Vamos celebrar Eros e Thanatos
Persephone e Hades
Vamos celebrar nossa tristeza
Vamos celebrar nossa vaidade

Vamos comemorar como idiotas
A cada Fevereiro e feriado
Todos os mortos nas estradas
Os mortos por falta de hospitais
Vamos celebrar nossa justiça
A ganância e a difamação
Vamos celebrar os preconceitos
O voto dos analfabetos
Comemorar a água podre e todos os impostos
Queimadas, mentiras e sequestros
Nosso castelo de cartas marcadas
O trabalho escravo, nosso pequeno universo
Toda a hipocrisia e toda a afetação
Todo roubo e toda a indiferença
Vamos celebrar epidemias
É a festa da torcida campeã

Vamos celebrar a fome
Não ter a quem ouvir, não se ter a quem amar
Vamos alimentar o que é maldade
Vamos machucar o coração
Vamos celebrar nossa bandeira
Nosso passado de absurdos gloriosos
Tudo que é gratuito e feio
Tudo o que é normal
Vamos cantar juntos o hino nacional
A lágrima é verdadeira
Vamos celebrar nossa saudade
E comemorar a nossa solidão

Vamos festejar a inveja
A intolerância e a incompreensão
Vamos festejar a violência
E esquecer a nossa gente
Que trabalhou honestamente a vida inteira
E agora, não tem mais direito a nada
Vamos celebrar a aberração
De toda a nossa falta de bom senso
Nosso descaso por educação
Vamos celebrar o horror de tudo isto
Com festa, velório e caixão
Tá tudo morto e enterrado agora
Já que, também, podemos celebrar
A estupidez de quem cantou essa canção

Venha, meu coração está com pressa
Quando a esperança está dispersa, só a verdade me liberta
Chega de maldade e ilusão
Venha, o amor tem sempre a porta aberta
E vem chegando a primavera
Nosso futuro recomeça
Venha que o que vem é perfeição

Ah, ah, ah"
Teatro dos Vampiros,Legião Urbana,Português,"Música: Teatro dos Vampiros
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Sempre precisei de um pouco de atenção
Acho que não sei quem sou, só sei do que não gosto
E, desses dias tão estranhos
Fica a poeira se escondendo pelos cantos
Esse é o nosso mundo, o que é demais nunca é o bastante
E a primeira vez é sempre a última chance
Ninguém vê aonde chegamos
Os assassinos estão livres, nós não estamos

Vamos sair, mas não temos mais dinheiro
Os meus amigos todos estão procurando emprego
Voltamos a viver como há dez anos atrás
E, a cada hora que passa, envelhecemos dez semanas
Vamos lá, tudo bem, eu só quero me divertir
Esquecer dessa noite, ter um lugar legal pra ir
Já entregamos o alvo e artilharia, comparamos nossas vidas
E esperamos que, um dia, nossas vidas possam se encontrar

Quando me vi tendo de viver comigo, apenas, e com o mundo
Você me veio como um sonho bom e me assustei
Não sou perfeito, eu não esqueço a riqueza que nós temos
Ninguém consegue perceber e, de pensar nisso tudo
Eu, homem feito, tive medo e não consegui dormir

Vamos sair, mas estamos sem dinheiro
Os meus amigos todos estão procurando emprego
Voltamos a viver como há dez anos atrás
E, a cada hora que passa, envelhecemos dez semanas
Vamos lá, tudo bem, eu só quero me divertir
Esquecer dessa noite, ter um lugar legal pra ir
Já entregamos o alvo e artilharia, comparamos nossas vidas
E, mesmo assim, não tenho pena de ninguém"
Sete Cidades,Legião Urbana,Português,"Música: Sete Cidades
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Já me acostumei com a tua voz com teu rosto e teu olhar
Me partiram em dois e procuro, agora, o que é minha metade

Quando não estás aqui, sinto falta de mim mesmo
E sinto falta do meu corpo junto ao teu

Meu coração é tão tosco e tão pobre
Não sabe, ainda, os caminhos do mundo

Quando não estás aqui, tenho medo de mim mesmo
E sinto falta do teu corpo junto ao meu

Vem, depressa, pra mim, que eu não sei esperar
Já fizemos promessas demais, já me acostumei com a tua voz
Quando estou contigo, estou em paz

Quando não estás aqui, meu espírito se perde
Voa longe, longe (Longe)"
Angra dos Reis,Legião Urbana,Português,"Música: Angra dos Reis
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Ooh, ooh, ooh

Deixa, se fosse sempre assim quente
Deita aqui perto de mim
Tem dias que tudo está em paz
E agora, os dias são iguais
Se fosse só sentir saudade
Mas tem sempre algo mais

Seja como for, é uma dor que dói no peito
Pode rir agora que estou sozinho
Mas não venha me roubar, ah

Vamos brincar perto da usina
Deixa pra lá, a angra é dos reis
Por que se explicar se não existe perigo?
Senti teu coração perfeito batendo à toa e isso dói

Seja como for, é uma dor que dói no peito
Pode rir agora que estou sozinho
Mas não venha me roubar, ooh

Vai ver que não é nada disso
E vai ver que já não sei quem sou
E vai ver que nunca fui o mesmo
A culpa é toda sua e nunca foi
Mesmo se as estrelas começassem a cair
E nos queimasse tudo ao redor
E fosse o fim chegando cedo
E você visse o nosso corpo em chamas, deixa pra lá

Quando as estrelas começarem a cair
Me diz, me diz: Pra onde é que a gente vai fugir?"
O Mundo Anda Tão Complicado,Legião Urbana,Português,"Música: O Mundo Anda Tão Complicado
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Gosto de ver você dormir que nem criança, com a boca aberta
O telefone chega sexta-feira, aperto o passo por causa da garoa
Me empresta um par de meias? A gente chega na sessão das dez
Hoje, eu acordo ao meio-dia, amanhã é a sua vez

Vem cá, meu bem, que é bom lhe ver
O mundo anda tão complicado
Que, hoje, eu quero fazer tudo por você

Temos que consertar o despertador e separar todas as ferramentas
Que a mudança grande chegou com o fogão e a geladeira e a televisão
Não precisamos dormir no chão, até que é bom
Mas a cama chegou na terça e, na quinta, chegou o som

Sempre faço mil coisas ao mesmo tempo
E até que é fácil acostumar-se com meu jeito
Agora que temos nossa casa, é a chave que sempre esqueço

Vamos chamar nossos amigos, a gente faz uma feijoada
Esquece um pouco do trabalho e fica de bate-papo
Temos a semana inteira pela frente, você me conta como foi seu dia
E a gente diz um pro outro: ""Estou com sono, vamos dormir""

Vem cá, meu bem, que é bom lhe ver
O mundo anda tão complicado
Que, hoje, eu quero fazer tudo por você

Quero ouvir uma canção de amor que fale da minha situação
De quem deixou a segurança de seu mundo por amor, por amor"
Monte Castelo,Legião Urbana,Português,"Música: Monte Castelo
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Ainda que eu falasse a língua dos homens
E falasse a língua dos anjos
Sem amor, eu nada seria

É só o amor, é só o amor
Que conhece o que é verdade
O amor é bom, não quer o mal
Não sente inveja ou se envaidece
O amor é o fogo que arde sem se ver
É ferida que dói e não se sente
É um contentamento descontente
É dor que desatina sem doer

Ainda que eu falasse a língua dos homens
E falasse a língua dos anjos
Sem amor, eu nada seria

É um não querer mais que bem querer
É solitário andar por entre a gente
É um não contentar-se de contente
É cuidar que se ganha em se perder
É um estar-se preso por vontade
É servir a quem vence, o vencedor
É um ter com quem nos mata a lealdade
Tão contrário a si é o mesmo amor

Estou acordado e todos dormem
Todos dormem, todos dormem
Agora vejo em parte
Mas, então, veremos face-a-face
É só o amor, é só o amor
Que conhece o que é verdade

Ainda que eu falasse a língua dos homens
E falasse a língua dos anjos
Sem amor, eu nada seria"
Vou Deixar,Skank,Português,"Música: Vou Deixar
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Vou deixar a vida me levar
Pra onde ela quiser
Estou no meu lugar
Você já sabe onde é
Não conte o tempo por nós dois
Pois a qualquer hora
Posso estar de volta
Depois que a noite terminar

Vou deixar a vida me levar
Pra onde ela quiser
Seguir a direção
De uma estrela qualquer

Não quero hora pra voltar
Não!
Conheço bem a solidão
Me solta!
E deixa a sorte me buscar
Nananã!

Eu já estou na sua estrada
Sozinho não enxergo nada
Mas vou ficar aqui
Até que o dia amanheça
Vou esquecer de mim
E você se puder
Não me esqueça

Vou deixar o coração bater
Na madrugada sem fim
Deixar o sol te ver
Ajoelhada por mim
Sim!

Não tenho hora pra voltar
Não!
Eu agradeço tanto a sua escolta
Mas deixa a noite terminar

Eu já estou na sua estrada
Sozinho não enxergo nada
Mas vou ficar aqui
Até que o dia amanheça
Vou esquecer de mim
E você se puder
Não me esqueça

Não, não, não quero hora
Pra voltar, não
Conheço bem a solidão
Me solta!
E deixa a sorte me buscar
Não, não, não tenho hora
Pra voltar, não
Eu agradeço tanto a sua escolta
Mas deixa a noite terminar"
Garota Nacional,Skank,Português,"Música: Garota Nacional
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Aqui nesse mundinho fechado ela é incrível
Com seu vestidinho preto indefectível
Eu detesto o jeito dela, mas pensando bem
Ela fecha com meus sonhos como ninguém
Oooh!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Conhece-te a ti mesmo e eu me conheço bem
Sou um qualquer vulgar, bem, às vezes me esqueço
E finjo que não finjo ao ignorar, eu sei
Que ela me domina no primeiro olhar
Ooooh!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Eu quero te provar
Sem medo e sem amor
Uooh!
Quero te provar
Por quê?
Porque ela derrama um banquete, um palacete
Um anjo de vestido, uma libido do cacete
Ela é tão, tão vistosa, que talvez seja mentira
Quem dera minha cara fosse de sucupira
Conhece-te a ti mesmo e eu me conheço bem
Sou um qualquer vulgar, bem, às vezes me esqueço
E finjo que não finjo ao ignorar, eu sei
Que ela me domina no primeiro olhar
Oooh!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Eu quero te provar
Sem medo e sem amor
Uooh!
Quero te provar
Eu quero te provar
Cozida a vapor
Uooh!
Quero te provar
Aqui nesse mundinho fechado ela é incrível
Com seu vestidinho preto indefectível
Eu detesto o jeito dela, mas pensando bem
Ela fecha com meus sonhos como ninguém
Oooh!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Eu quero te provar
Sem medo e sem amor
Uooh!
Quero te provar
Eu quero te provar
Cozida a vapor
Uooh!
Quero te provar
Eu!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!
Beat it laun, daun daun!
Beat it, loom, dap'n daun
Beat it laun, baun baun!"
Resposta,Skank,Português,"Música: Resposta
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Bem mais que o tempo
Que nós perdemos
Ficou pra trás também o que nos juntou
Ainda lembro o que eu estava lendo
Só pra saber o que você achou
Dos versos que eu fiz
E ainda espero resposta

Desfaz o vento
O que há por dentro
Desse lugar que ninguém mais pisou
Você está vendo o que está acontecendo
Nesse caderno sei que ainda estão

Os versos seus
Tão meus que peço
Nos versos meus
Tão seus que esperem
Que os aceite

Em paz
Eu digo que eu sou
O antigo do que vai
Adiante
Sem mais eu fico onde estou
Prefiro continuar distante

Bem mais que o tempo
Que nós perdemos
Ficou pra trás também o que nos juntou
Ainda lembro o que eu estava lendo
Só pra saber o que você achou

Dos versos seus
Tão meus que peço
Nos versos meus
Tão seus que esperem
Que os aceite

Em paz
Eu digo que eu sou
O antigo do que vai
Adiante
Sem mais eu fico onde estou
Prefiro continuar distante
Em paz
Eu digo que eu sou
O antigo do que vai
Adiante
Sem mais eu fico onde estou
Prefiro continuar distante

Desfaz o vento
O que há por dentro
Desse lugar que ninguém mais pisou
Você está vendo o que está acontecendo
Nesse caderno sei que ainda estão

Os versos seus
Tão meus que peço
Nos versos meus
Tão seus que esperem
Que os aceite

Em paz
Eu digo que eu sou
O antigo do que vai
Adiante
Sem mais eu fico onde estou
Prefiro continuar distante
Em paz
Eu digo que eu sou
O antigo do que vai
Adiante
Sem mais eu fico onde estou
Prefiro continuar distante
E em paz
Eu digo que eu sou
O antigo do que vai
Adiante
Sem mais eu fico onde estou
Prefiro continuar distante"
Sutilmente,Skank,Português,"Música: Sutilmente
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

E quando eu estiver triste
Simplesmente me abrace
Quando eu estiver louco
Subitamente se afaste
Quando eu estiver fogo
Suavemente se encaixe
E quando eu estiver triste
Simplesmente me abrace
E quando eu estiver louco
Subitamente se afaste
E quando eu estiver bobo
Sutilmente disfarce
Mas quando eu estiver morto
Suplico que não me mate, não
Dentro de ti, dentro de ti
Mesmo que o mundo acabe, enfim
Dentro de tudo que cabe em ti"
Acima do Sol,Skank,Português,"Música: Acima do Sol
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Assim ela já vai
Achar o cara que lhe queira
Como você não quis fazer
Sim, eu sei que ela só vai
Achar alguém pra vida inteira
Como você não quis
Tão fácil perceber
Que a sorte escolheu você
E você cego nem nota
Quando tudo ainda é nada
Quando o dia é madrugada
Você gastou sua cota
Eu não posso te ajudar
Esse caminho não há outro
Que por você faça
Eu queria insistir
Mas o caminho só existe
Quando você passa
Quando muito ainda pouco
Você quer infantil e louco
Um sol acima do sol
Mas quando sempre é sempre nunca
Quando ao lado ainda é muito mais longe
Que qualquer lugar
Um dia ela já vai
Achar o cara que lhe queira
Como você não quis fazer
Sim, eu sei que ela só vai
Achar alguém pra vida inteira
Como você não quis
Se a sorte lhe sorriu
Porque não sorrir de volta
Você nunca olha a sua volta
Não quero estar sendo mal
Moralista ou banal
Aqui está o que me afligia
Um dia ela já vai
Achar o cara que lhe queira
Como você não quis fazer
Sim, eu sei que ela só vai
Achar alguém pra vida inteira
Como você não quis"
